Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
trichdb	trichdb			MIR:00000154				TrichDB		TrichDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera.	18824479	EuPathDB		eukaryotic,genome								^\w+$	TVAG_386080	http://trichdb.org/trichdb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&source_id=$id		x								
triples								TRIPLES	TRIPLES																		no resolving url	omitted						
tritrypdb	tritrypdb			MIR:00000155				TriTrypDB		TriTrypDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera.	19843604	EuPathDB		eukaryotic,genome								^\w+(\.)?\w+(\.)?\w+	Tb927.8.620	http://tritrypdb.org/tritrypdb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&source_id=$id		x								
trmp								TRMP	Therapeutically Relevant Multiple Pathways Database	The Therapeutically Relevant Multiple Pathways Database is designed to provide information about such multiple pathways and related therpaeutic targets described in the literatures, the targeted disease conditions, and the corresponding drugs/ligands directed at each of these targets. 		Bioinformatics and Drug Design Group		pathway	http://bidd.nus.edu.sg/group/trmp/trmp_ns.asp									http://bidd.nus.edu.sg/group/pathway/$id			no resolving url	omitted						
trna_sequences								tRNA Sequences	tRNA Sequences					RNA													no resolving url	omitted						
trnadbce								tRNADB-CE	tRNA Gene Database	The tRNA Gene DataBase Curated by Experts "tRNADB-CE" was constructed by analyzing 927 complete and 1301 draft genomes of Bacteria and Archaea, 171 complete virus genomes, 121 complete chloroplast genomes, 12 complete eukaryote (Plant and Fungi) genomes and approximately 230 million DNA sequence entries that originated from environmental metagenomic clones. 		Nagahama Institute of Bio-Science and Technology		RNA, gene, genome, DNA	http://trna.nagahama-i-bio.ac.jp							^\d+$	265912	http://trna.nagahama-i-bio.ac.jp/cgi-bin/trnadb/whole_detail.cgi?SID=$id				curation						
tromer	trome							TromER	Transcriptome Analysis Database	The transcriptome analyser (TromER) project aims at providing powerful tools to determine and document all the transcribed elements of a genome. The transcribed parts are defined by analysing experimental evidence, like expressed sequence tags (EST) and other mRNA sequences. The transcriptome data include transcribed regions, splice variants, SAGE mappings, MPSS mappings, Affymetrix chips mappings, etc., for several organisms		SIB			http://ccg.vital-it.ch/tromer/												not lnkable (http://ccg.vital-it.ch/cgi-bin/tromer/tromer2nice_new.pl?query_str=HTR000099&db=hg19)	omitted						
tropgene								TropGENE DB	TropGENE DB	TropGENE DB is a database that manages genetic and genomic information about tropical crops studied by Cirad. The database is organised into crop specific modules. 		CIRAD		gene, genome	http://tropgenedb.cirad.fr/							[A-Z]+\d+	ITC0084	N/A			portal	omitted						
trrd								TRRD	Transcription Regulatory Regions Database	TRRD is a unique information resource, accumulating information on structural and functional organization of transcription regulatory regions of eukaryotic genes. Only experimentally confirmed information is included into TRRD.		Siberian Branch of the Russian Academy of Sciences		regulation, structure, gene	http://www.bionet.nsc.ru/trrd/							[A-Z,0-9]+	F186.1	N/A			portal (SRS)	omitted						
trsdb								TrSDB	TrSDB: A Proteome Database of Transcription Factors 	TrSDB is a Biological Proteome KnowledgeBase linking IPI and SPTR-NR based Proteome analyses with TranScout, TransMem and ProtLoc and offering crosslinks with other relevant information from worldwide highly acknowledged biodatabases such as SWISS-PROT, NCBI Refseq, Ensembl, InterPro or Gene Ontology Annotation. 		University of Barcelona		protein	http://ibb.uab.es/trsdb									unavailable			 ('Sorry, I cannot connect to TrSDB.  It might have been temporally unavailable.')	omitted						
tssrmd									The Small Subunit rRNA Modification Database	The Small Subunit rRNA Modification Database provides a listing of reported post-transcriptionally modified nucleosides and sequence sites in small subunit rRNAs from bacteria, archaea and eukarya. 		University of Utah		RNA, structure	http://library.med.utah.edu/SSUmods/							^\d+$	2066	N/A				omitted						
ttat								trome, trEST and trGEN	trome, trEST and trGEN																		no resolving url	omitted						
ttd	Therapeutic Targets Database							TTD	Therapeutic Target Database	The Therapeutic Target Database (TTD) is designed to provide information about the known therapeutic protein and nucleic acid targets described in the literature, the targeted disease conditions, the pathway information and the corresponding drugs/ligands directed at each of these targets.		National University of Singapore		protein, DNA, pathway, small molecule	http://bidd.nus.edu.sg/group/cjttd/TTD_HOME.asp			ttd.drug, ttd.target										omitted						
ttd.drug				MIR:00000092					TTD Drug		11752352			drug,pathway			ttd					^DAP\d+$	DAP000776	http://bidd.nus.edu.sg/group/cjttd/ZFTTDDRUG.asp?ID=$id		x								
ttd.target				MIR:00000093					TTD Target		11752352			drug,pathway			ttd					^TTDS\d+$	TTDS00056	http://bidd.nus.edu.sg/group/cjttd/ZFTTDDetail.asp?ID=$id		x								
tto	teleost_taxonomy	http://purl.obolibrary.org/obo/TTO_				1081		TTO	Teleost taxonomy Ontology	The Teleost taxonomy ontology is being used to facilitate annotation of phenotypes, particularly for taxa that are not covered by NCBI because no submissions of molecular data have been made.		National Evolutionary Synthesis Center	terminology	obo, phenotype, fish	https://www.nescent.org/phenoscape/Main_Page							^TTO_\d$	TTO_2	http://purl.obolibrary.org/obo/$id				omitted						
ttw								tmRNA	The tmRNA website	tmRNA gene sequences have been identified in all completely sequenced bacterial genomes (in 17 of 20 phyla) and in certain phage, mitochondrial and plastidial genomes, but not (yet!) in archaeal or eukaryotic nuclear genomes		Indiana University		RNA, gene, genome, anatomy	http://www.indiana.edu/~tmrna									N/A			-403	omitted						
tuberculist								TubercuList	Mycobacterium tuberculosis strain H37Rv genome database	The TubercuList knowledge base integrates genome details, protein information, drug and transcriptome data, mutant and operon annotation, bibliography; structural views and comparative genomics, in a structured manner required for the rational development of new diagnostic, therapeutic and prophylactic measures against tuberculosis. 		Global Health Institute		genome, protein, DNA	http://tuberculist.epfl.ch							Rv[0-9,a-z]+	Rv0115	http://tuberculist.epfl.ch/quicksearch.php?gene+name=$id				present as MIR:00000216						
twosides									TWOSIDES database of drug-drug interactions			Stanford University		drug, drug interaction													no resolving url	omitted						
u12db								U12DB	U12 Intron Database	the U12 Intron Database (U12DB), aims to catalog the U12 introns of completely sequenced eukaryotic genomes and associate orthologous introns with each other.		Genome Bioinformatics Laboratory, Spain		genome, DNA	http://genome.imim.es/cgi-bin/u12db/u12db.cgi							^\d+$	24173	N/A			not linkable	omitted						
uagb								UCSC Archaeal Genome Browser	UCSC Archaeal Genome Browser	The UCSC Archaeal Genome Browser is a window on the biology of more than 50 microbial species from the domain Archaea. 		UCSC		genome	http://archaea.ucsc.edu/		ucsc							http://archaea.ucsc.edu/cgi-bin/hgGateway?db=$id			portal to multiple databases	omitted						
uam								UCbase and miRfunc	UCbase and miRfunc																		no resolving url	omitted						
uberon		http://purl.obolibrary.org/obo/UBERON_	http://purl.org/obo/owl/UBERON#, http://purl.obolibrary.org/obo/UBERON#, http://purl.obofoundry.org/uberon/, http://purl.obolibrary.org/uberon/, http://purl.org/obo/owl/UBERON#, http://identifiers.org/obo.uberon/			1404		uberon	Uber anatomy ontology	Uberon is a multi-species anatomy ontology created to facilitate comparison of phenotypes across multiple species and to use in definition GO biological process terms.		OBO	terminology	obo, anatomy, ontology	http://www.bioontology.org/wiki/index.php/UBERON:Main_Page									N/A				omitted						
ucbh						1688		UCBH	Uniprot Core terminology	Uniprot core terminology			terminology	owl, database						private								omitted						
ucd2dpage									University College Dublin 2-DE Proteome Database				dataset	2d-page	http://proteomics-portal.ucd.ie:8082/cgi-bin/2d/2d.cgi													omitted						
ucsc								UCSC	UCSC genome bioinformatics	This site contains the reference sequence and working draft assemblies for a large collection of genomes. It also provides portals to the ENCODE and Neandertal projects.		UCSC		genome	http://genome.ucsc.edu/									N/A			tool / software	omitted						
ugenome								U-genome	U-genome					genome													no resolving url	omitted						
ugmicrosatdb								UgMicroSatdb	Unigene MicroSatellite Database	UgMicroSatdb (Unigene MicroSatellite database), a web based relational database of microsatellites present in unigene sequences covering 80 genomes. UgMicroSatdb allows microsatellite search using multiple parameters like microsatellite type simple (perfect) and compound (perfect and imperfect), repeat unit length (mono- to hexa-nucleotide), repeat number, microsatellite length and repeat sequence class.		Guru Gobind Singh Indraprastha University		DNA	http://ipu.ac.in/usbt/UgMicroSatdb.htm							UGM-\d+	UMD-10-1-1-4	http://www.veenuash.info/veenu/chromo.asp?ns=$id			no resolving url	omitted						
uk_cropnet								UK CropNet	The UK Crop Plant Bioinformatics Network	The focus is the development, management, and distribution of information relating to comparative mapping and genome research in crop plants. 				genome	http://ukcrop.net/									N/A			no resolving url	omitted						
ulysses								Ulysses	Projection of Protein Networks across Species	Ulysses is a system to annotate human genes based on gene interactions in model organisms.  Data are transferred from amenable species like yeast, fly, and worm through homology, and functional gene annotation is facilitated through the framework of a large database. 		University of British Columbia		gene, interaction	http://www.cisreg.ca/ulysses									N/A			 / phased out (UKCropnet ceased development in 2003/2004)	omitted						
umbbd								UM-BBD	University of Minnesota Biocatalysis/Biodegradation Database			University of Minnesota	dataset		http://umbbd.ethz.ch/													present as MIR:0000325-8						
umbbd.compound				MIR:00000276					UM-BBD Compounds		19767608	UMBBD		chemical			umbbd					^c\d+$	c0001			x								
umbbd.enzyme	um-bbd_enzymeId			MIR:00000326					UM-BBD Enzymes		19767608						umbbd					^e\d+$	e0333			x								
